Country.of.Origin,Number.of.Bags,Bag.Weight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_mean_meters
Ethiopia,300,60,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,2075
Ethiopia,300,60,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,2075
Guatemala,5,1,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,1700
Ethiopia,320,60,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,2000
Ethiopia,300,60,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,2075
Brazil,100,30,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,NA
Peru,100,69,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,NA
Ethiopia,300,60,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,1635
Ethiopia,300,60,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,1635
Ethiopia,50,60,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,1822.5
Ethiopia,300,60,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,1905
United States,10,1,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,1872
United States,10,1,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,1943
United States (Hawaii),1,1,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0,609.6
Ethiopia,300,60,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05,1635
United States,10,1,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0,2080
Indonesia,1,2,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03,1500
Ethiopia,150,6,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05,NA
China,3,60,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,1450
Ethiopia,250,60,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,1850
United States,10,1,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0,2019
Costa Rica,250,3,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,1300
Mexico,14,1,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,1320
United States,10,1,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,2112
Ethiopia,100,60,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,NA
Brazil,3,60,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,1250
Ethiopia,150,6,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,NA
Uganda,100,60,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,1950
Honduras,275,69,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,1400
Taiwan,20,50,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,1200
Nicaragua,275,6,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,NA
"Tanzania, United Republic Of",100,60,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,NA
Brazil,29,60,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,1300
Costa Rica,250,2,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,1300
Ethiopia,320,60,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,1775
Kenya,320,1,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,1800
United States (Hawaii),10,100,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,NA
United States (Hawaii),25,100,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,NA
Ethiopia,300,6,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,NA
United States,10,1,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,1941
Thailand,53,1,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1300
Brazil,300,60,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,12
Brazil,300,60,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,12
Taiwan,10,15,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,1000
Kenya,12,60,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,1754
Brazil,7,60,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,1250
Uganda,1,60,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,NA
Colombia,1,2,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1200
Kenya,1,1,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,1860
Uganda,1,60,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,1650
Ethiopia,300,6,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,1750
United States (Hawaii),1,2,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,426.72
Guatemala,80,69,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,NA
Uganda,1,60,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,1650
Colombia,275,70,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1800
Panama,37,60,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,1600
Ethiopia,320,60,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,1900
Guatemala,150,1,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,1524
Guatemala,275,1,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,1417.32
Ethiopia,320,19200,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,NA
Peru,280,5,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,NA
Papua New Guinea,7,60,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,1700
El Salvador,275,2,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,1500
El Salvador,19,1,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,1350
United States (Hawaii),8,100,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,NA
Panama,100,60,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,1680
Kenya,16,60,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,1900
Ethiopia,320,60,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,1900
Uganda,320,60,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,1600
Guatemala,250,69,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,1731.264
Ethiopia,320,60,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,1900
Uganda,150,60,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,1950
United States (Hawaii),8,100,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,NA
Brazil,5,60,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,1250
El Salvador,2,1,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,1400
China,3,60,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,1700
Guatemala,36,30,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,1770
Costa Rica,250,3,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,1300
Costa Rica,250,3,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,1300
Kenya,20,60,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,1600
Kenya,300,60,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,1200
Ethiopia,360,6,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,NA
Ethiopia,300,6,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,NA
Guatemala,250,69,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,NA
Colombia,275,70,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,1550
Colombia,250,70,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,1550
Indonesia,54,60,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,1325
Guatemala,250,1,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,1400
Ethiopia,320,19200,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,NA
Colombia,250,70,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,2560
Ethiopia,100,60,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,1700
United States (Hawaii),12,100,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,NA
Colombia,250,70,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,2136
United States (Hawaii),13,100,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,NA
Ethiopia,360,6,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,NA
United States (Hawaii),27,0,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,NA
Uganda,200,60,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,1800
Colombia,135,70,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,NA
Costa Rica,36,46,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1900
Mexico,1,30,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,1300
Kenya,170,60,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,1
Kenya,38,60,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,1580
Brazil,31,60,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,1100
Mexico,1,1,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,1400
United States (Hawaii),15,100,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,NA
Guatemala,275,69,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,1325.88
Colombia,243,70,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,NA
Colombia,252,70,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,1775
Taiwan,20,40,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,800
"Tanzania, United Republic Of",134,60,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,1620
Colombia,50,70,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,1775
Mexico,25,1,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,1200
Brazil,4,60,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,1200
Brazil,10,60,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,1000
Kenya,320,60,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,NA
Taiwan,10,20,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,350
Uganda,1,60,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,1650
United States (Hawaii),14,100,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,NA
Ethiopia,300,6,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,1750
Ethiopia,300,6,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,1750
Thailand,50,50,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,NA
Kenya,150,60,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,1800
Honduras,275,1,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,1450
El Salvador,250,69,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15,1200
Nicaragua,2,6,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,0.18,925
El Salvador,150,69,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0,1350
Indonesia,2,1,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12,1200
Japan,20,1,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12,170
Costa Rica,15,69,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1,1150
Guatemala,120,34,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1,1600
Costa Rica,50,1,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12,1750
Ethiopia,250,30,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1,1900
Costa Rica,20,69,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08,1750
Costa Rica,275,1,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11,1200
Costa Rica,1,2,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0,NA
Taiwan,10,30,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11,1000
Colombia,250,70,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0,1550
Kenya,235,60,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,0.11,2000
Guatemala,250,1,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,0.11,1310.64
Guatemala,125,1,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,0.12,1524
Mexico,80,1,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,0.13,1200
Uganda,320,60,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,0.11,1775
Peru,1,60,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,84.67,0,NA
Ethiopia,300,6,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67,0.2,1750
Kenya,66,60,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58,0.11,1754
Colombia,250,70,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58,0,1500
Colombia,125,70,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58,0,NA
Kenya,100,60,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58,0.1,1800
Guatemala,250,69,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58,0.11,1524
Guatemala,250,69,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,0.09,1219.2
Colombia,250,70,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,0,1550
Colombia,75,70,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,0,1750
Kenya,11,660,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,84.58,0,NA
Colombia,250,70,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58,0,1750
Costa Rica,1,1,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58,0.12,1575
Colombia,250,70,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58,0.11,1800
Brazil,37,60,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12,1300
Brazil,35,60,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58,0.11,1100
Costa Rica,275,18975,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5,0.1,1200
Uganda,200,12000,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,84.5,0.11,1750
China,3,60,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5,0.1,1680
Costa Rica,250,1,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5,0.11,1700
Colombia,275,2,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,0.12,1800
China,1,2,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5,0,1100
Guatemala,250,69,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5,0.11,1310.64
Kenya,235,60,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5,0.11,2000
Mexico,56,1,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5,0.12,1350
Mexico,250,1,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5,0.11,1500
Guatemala,250,69,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,84.5,0.11,NA
Brazil,27,60,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,84.5,0,NA
Brazil,320,60,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,84.5,0,NA
Costa Rica,275,69,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42,0.1,1300
Indonesia,200,30,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,84.42,0,1400
Colombia,304,35,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42,0,NA
Colombia,275,70,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,0,1775
Taiwan,2,2,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42,0.11,1200
United States (Hawaii),5,100,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,84.42,0.11,NA
Mexico,69,1,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42,0.12,900
Ethiopia,360,6,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,84.42,0.2,NA
Kenya,150,60,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33,0.11,1800
Honduras,275,66,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,84.33,0.1,1500
Colombia,275,70,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33,0,NA
Honduras,275,69,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33,0.11,1500
Colombia,275,70,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,84.33,0,NA
Colombia,250,70,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33,0.11,442
Colombia,275,70,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0,1800
Mexico,100,80,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,0.12,1700
Brazil,75,60,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0,1275
Brazil,80,60,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02,1050
Ethiopia,1,132,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33,0,1493.52
Guatemala,250,1,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,84.33,0.04,1386.84
Taiwan,10,5,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,0.12,1000
Thailand,20,25,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,0.12,1200
Colombia,275,70,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,0.11,2560
Guatemala,230,69,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,0.11,1500
Guatemala,275,69,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,0.1,1099.4136
China,3,60,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,0.1,1400
Colombia,275,70,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,0.11,1775
Colombia,248,70,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,0.12,1775
Colombia,275,2,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,0.12,1800
Colombia,250,70,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,0.12,442
"Tanzania, United Republic Of",10,60,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,0.12,1620
"Tanzania, United Republic Of",65,60,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,0.12,1600
Guatemala,250,69,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,0.1,1219.2
Colombia,250,70,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,0.11,1700
United States (Hawaii),7,100,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25,0.11,NA
Mexico,10,1,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,0.12,1450
Mexico,20,1,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,0.12,1170
Mexico,250,1,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,0.1,1400
Uganda,1,60,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,0.13,1700
Guatemala,50,69,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,0.13,1700
Colombia,250,70,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17,0,NA
Costa Rica,150,69,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,0.09,1700
Guatemala,275,69,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17,0.11,1116.7872
Guatemala,377,69,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17,0.1,1565
Guatemala,130,69,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17,0.1,3280
Colombia,275,70,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,0,1775
Nicaragua,275,2,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17,0.12,1000
Brazil,305,59,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17,0,1150
Costa Rica,320,69,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17,0,1850
