Country.of.Origin,Number.of.Bags,Bag.Weight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_mean_meters
Honduras,275,69,7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,81.67,0.11,1450
"Tanzania, United Republic Of",320,60,7.17,7.33,7.33,7.42,7.5,7.33,10,10,10,7.58,81.67,0,1800
Nicaragua,275,69,7.58,7.5,7.25,7.25,7.5,7.25,10,10,10,7.33,81.67,0.1,NA
Colombia,165,70,7.75,7.75,7.75,7.67,5.25,7.83,10,10,10,7.67,81.67,0,NA
Brazil,320,2,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,81.67,0,1
"Tanzania, United Republic Of",20,60,7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,81.67,0.12,1500
"Tanzania, United Republic Of",10,60,7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,81.67,0.12,1700
Brazil,300,2,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,81.67,0.1,1260
Indonesia,320,4,7.17,7.42,7.33,7.42,7.33,7.42,10,10,10,7.58,81.67,0.11,NA
Honduras,275,1,7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,81.67,0.1,1400
Costa Rica,275,69,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,81.67,0.11,1850
Mexico,320,5,7.42,7.42,7.67,8,7.58,7.5,9.33,9.33,10,7.42,81.67,0,NA
Taiwan,10,30,7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,81.67,0.11,150
Taiwan,10,30,7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,81.67,0.11,750
Mexico,310,1,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,81.67,0.12,1400
Guatemala,275,69,7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,81.67,0.11,1752.6
Mexico,100,1,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,81.67,0.13,1650
Mexico,15,1,7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,81.67,0.11,1400
Mexico,275,1,7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,7.17,81.67,0.11,1200
Mexico,250,1,7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,7.42,81.67,0.11,1400
Mexico,12,1,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,7.67,81.67,0.11,940
United States (Hawaii),13,100,7.42,7.33,7.33,7.33,7.17,7.83,10,10,10,7.25,81.67,0.1,NA
Honduras,275,69,7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,7.33,81.58,0.11,1200
Guatemala,25,69,7.42,7.42,7.08,7.5,7.42,7.33,10,10,10,7.42,81.58,0.12,190164
Taiwan,20,50,7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,7.25,81.58,0.1,800
Costa Rica,250,69,7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,7.25,81.58,0.12,13
"Tanzania, United Republic Of",100,60,7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,7.25,81.58,0.12,1800
Malawi,10,60,7.42,7.42,7.17,7.58,7.33,7.33,10,10,10,7.33,81.58,0.13,1100
Taiwan,50,20,7.33,7.17,7.08,7.08,8.33,8.25,10,10,9.33,7,81.58,0,850
Brazil,300,60,7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,81.58,0.12,1260
Guatemala,250,69,7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,7.17,81.58,0.12,1310.64
Mexico,310,1,7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,7.33,81.58,0.12,1400
Mexico,28,1,7.33,7.5,7.25,7.5,7.5,7.17,10,10,10,7.33,81.58,0.11,1600
Mexico,28,1,7.67,7.58,7.42,7.58,7.58,7.42,10,10,8.67,7.67,81.58,0.11,1650
Thailand,12,50,7.08,7.33,7.58,7.58,7.17,7.5,10,10,10,7.33,81.58,0.01,1499.9208
Thailand,1,60,7.33,7.33,7.17,7.5,7.58,7.33,10,10,10,7.33,81.58,0.2,NA
Costa Rica,1,60,7.25,7.17,7.33,7.33,7.5,7.75,10,10,10,7.25,81.58,0,1600.2
Guatemala,50,69,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,7.58,81.5,0.1,1219.2
Nicaragua,550,69,7.5,7.42,7.33,7.33,7.25,7.33,10,10,10,7.33,81.5,0.11,1100
Honduras,275,69,7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,7.33,81.5,0.1,1400
Guatemala,50,69,7.5,7.42,7.25,7.25,7.5,7.25,10,10,10,7.33,81.5,0.12,NA
Taiwan,123,2,7.5,7.42,7.33,7.08,7.58,7.25,10,10,10,7.33,81.5,0.12,180
Myanmar,1,1,7.25,7.42,7.25,7.5,7.33,7.33,10,10,10,7.42,81.5,0,1219.2
Costa Rica,250,1,7.83,7.33,7.08,7.08,7.33,7.5,10,10,10,7.33,81.5,0.12,1200
Malawi,15,60,7.67,7.42,6.92,7.5,7.5,7.17,10,10,10,7.33,81.5,0.12,1599
Guatemala,250,69,7.5,7.42,7.17,7.58,7.25,7.42,10,10,10,7.17,81.5,0.12,1219.2
Taiwan,50,20,7.42,7.33,7.67,7.33,7.42,7.5,10,10,9.33,7.5,81.5,0.11,900
Brazil,300,60,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5,0,1200
Haiti,300,4,7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,7.33,81.5,0.11,825
Taiwan,5,30,7.5,7.42,7.25,7.25,7.33,7.33,10,10,10,7.42,81.5,0.11,600
Mexico,250,1,7.33,7.33,7.17,7.42,7.5,7.5,10,10,10,7.25,81.5,0.13,1150
Mexico,250,1,7.58,7.42,7.25,7.42,7.33,7.33,10,10,10,7.17,81.5,0.12,1600
Mexico,30,1,7.42,7.25,7.17,7.42,7.17,8,10,10,10,7.08,81.5,0.12,1100
Mexico,20,1,7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,7.25,81.5,0.11,1000
Mexico,50,80,7.42,7.42,7.33,7.17,7.25,7.42,10,10,10,7.5,81.5,0.13,1250
Mexico,15,1,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,7.42,81.5,0.11,1100
Indonesia,10,60,7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,7.17,81.5,0.12,1400
Brazil,300,1,7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,81.5,0.12,125
Guatemala,250,1,7.33,7.5,7.33,7.42,7.17,7.33,10,10,10,7.42,81.5,0.11,NA
Colombia,250,70,7.42,7.42,7.17,7.42,7.42,7.33,10,10,10,7.33,81.5,0.06,1450
United States (Hawaii),16,1,7.33,7.33,7.33,7.5,7.5,7.83,9.33,10,10,7.33,81.5,0,NA
Mexico,200,69,7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,7.25,81.42,0.12,1100
Guatemala,450,69,7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,7.42,81.42,0.1,1371.6
Brazil,300,60,7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,81.42,0.11,1100
Honduras,275,1,7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,7.25,81.42,0.12,1400
Taiwan,10,60,7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,7.08,81.42,0.12,110
Malawi,12,60,7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,7.42,81.42,0.12,1422
Brazil,320,2,7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,81.42,0,1100
Guatemala,250,69,7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,7.08,81.42,0.1,1550
Mexico,280,2,7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,7.33,81.42,0,1550
Peru,280,5,7.42,7.42,7.17,7.33,7.42,7.42,10,10,10,7.25,81.42,0.1,NA
Guatemala,250,69,7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,7.08,81.42,0.12,1310.64
Mexico,10,1,7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,81.42,0.13,763
Mexico,20,1,7.42,7.42,7.25,7.25,7.5,7.33,10,10,10,7.25,81.42,0.13,1100
Colombia,250,70,7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,81.42,0.11,1750
Colombia,250,70,7.75,7.33,7.42,7,7.33,7.25,10,10,10,7.33,81.42,0.16,1880
United States (Hawaii),27,0,7.83,7,7,7.58,7.58,7.5,10,10,10,6.92,81.42,0.01,NA
Colombia,230,70,7.5,7.33,7.33,7.17,7.33,7.42,10,10,10,7.25,81.33,0,NA
Honduras,275,69,7.5,7.5,7,7.17,7.5,7.33,10,10,10,7.33,81.33,0.11,1500
Mexico,220,69,7.67,7.42,7,7.42,7.58,7.08,10,10,10,7.17,81.33,0.12,1130
Brazil,300,60,7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,81.33,0.11,1100
Honduras,275,1,7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,7.42,81.33,0.09,1350
Brazil,300,60,7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,81.33,0.12,1200
Philippines,2,2,7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,7.33,81.33,0.14,1400
Malawi,31,60,7.75,7.33,7.08,7.33,7.33,7.25,10,10,10,7.25,81.33,0.13,1200
Honduras,275,1,7.33,7.33,7.17,7.33,7.5,7.33,10,10,10,7.33,81.33,0.12,1450
Mexico,250,1,7.58,7.42,7.25,7.33,7.25,7.25,10,10,10,7.25,81.33,0.13,1800
Mexico,70,1,7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,7.25,81.33,0.12,1000
Brazil,42,5,7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,7.58,81.33,0.11,1100
Taiwan,20,50,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,10,5.25,81.25,0.12,680
Brazil,320,2,7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,81.25,0,1
Nicaragua,275,69,7.08,7.5,7.33,7.17,7.42,7.25,10,10,10,7.5,81.25,0.1,1100
Honduras,275,1,7.42,7.17,7.17,7.5,7.33,7.25,10,10,10,7.42,81.25,0.12,1400
Guatemala,36,55,7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,7.33,81.25,0.09,1700
"Tanzania, United Republic Of",100,60,7.33,7.17,7.17,7.5,7.25,7.42,10,10,10,7.42,81.25,0.13,1700
Taiwan,10,30,7.5,7.5,7.25,7.25,7.25,7.25,10,10,10,7.25,81.25,0.11,650
Guatemala,250,69,7.5,7.33,7.5,7.58,7,7.25,10,10,10,7.08,81.25,0.11,1524
Mexico,250,1,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10,10,7.5,81.25,0.12,1500
Nicaragua,275,69,7.33,7.5,7.17,7.17,7.58,7.17,10,10,10,7.25,81.17,0.09,1200
"Tanzania, United Republic Of",100,60,7.67,7.17,7.17,7.33,7.5,7.17,10,10,10,7.17,81.17,0.12,1050
Mexico,275,1,7.75,7.58,7.08,7.25,7.08,7.25,10,10,10,7.17,81.17,0.12,1200
Costa Rica,275,18975,7.5,7.5,7.33,7.17,7.08,7.17,10,10,10,7.42,81.17,0.11,1300
Honduras,275,1,7.42,7.33,7,7.42,7.33,7.33,10,10,10,7.33,81.17,0.13,1450
Thailand,20,20,6.83,7.42,7.42,7.17,7.5,7.42,10,10,10,7.42,81.17,0.12,1450
Philippines,2,2,7.25,7.25,7.25,7.08,7.58,7.5,10,10,10,7.25,81.17,0,1200
"Tanzania, United Republic Of",320,60,7.58,7.17,7.17,7.33,7.33,7.25,10,10,10,7.33,81.17,0.12,1550
Malawi,300,60,7.58,7.25,7.33,7.08,7.33,7.33,10,10,10,7.25,81.17,0.12,995
Costa Rica,250,1,7.33,7.08,7.33,7.25,7.33,7.58,10,10,10,7.25,81.17,0.11,1300
Brazil,300,1,7.42,7.42,7.17,7.42,7.33,7.25,10,10,10,7.17,81.17,0.11,NA
Mexico,250,1,7.42,7.25,7.08,7.75,7.42,7.17,10,10,10,7.08,81.17,0.13,1800
Guatemala,250,1,7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,7.25,81.17,0.12,1450
Brazil,17,60,7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,7.08,81.17,0.12,1000
United States (Hawaii),4,100,7.25,7.75,7.67,7.67,7.42,7.67,8.67,9.33,10,7.75,81.17,0.04,NA
Ethiopia,300,60,7.42,7.33,7.17,7.33,7.42,7.17,10,10,10,7.25,81.08,0.11,NA
Brazil,500,60,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,81.08,0.11,695
Nicaragua,275,69,7.33,7.33,7.33,7.42,7.33,7.33,10,10,10,7,81.08,0.11,1100
United States,1,5,7.42,7.17,7.33,7.42,7.25,7.33,10,10,10,7.17,81.08,0,1706.88
"Tanzania, United Republic Of",54,60,7.42,7.33,7.33,7.25,7.25,7.33,10,10,10,7.17,81.08,0.13,1456
Costa Rica,250,1,7.42,7.25,7.17,7.25,7.25,7.58,10,10,10,7.17,81.08,0.13,1500
United States (Puerto Rico),18,5,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,8.5,81.08,0,853.44
Mexico,100,1,7.25,7.42,7.33,7.33,7.17,7.33,10,10,10,7.25,81.08,0.13,1650
Mexico,30,1,7.33,7.25,7.33,7.42,7.25,7.42,10,10,10,7.08,81.08,0.12,1300
Mexico,40,1,7.33,7.33,7.25,7.42,7.25,7.25,10,10,10,7.25,81.08,0.11,1642
Mexico,15,1,7.42,7.33,7.25,7.42,7.17,7.25,10,10,10,7.25,81.08,0.1,1200
United States (Hawaii),2,100,7.42,7.42,7.25,7.58,6.92,7.17,10,10,10,7.33,81.08,0.06,NA
Brazil,300,59,7.25,7.25,7.17,7.5,7.33,7.17,10,10,10,7.33,81,0.11,NA
El Salvador,100,69,7.42,7.08,7.08,7.33,7.25,7.58,10,10,10,7.25,81,0,1450
Brazil,300,59,7.33,7.17,7.17,7.67,7.33,7.17,10,10,10,7.17,81,0.11,NA
Guatemala,120,69,7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,7.25,81,0.09,3280
Colombia,43,70,7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,7.75,81,0,1600
Guatemala,250,69,7.5,7.25,7,7.25,7.5,7.25,10,10,10,7.25,81,0.11,1219.2
Taiwan,10,5,7.25,7.17,7.17,7.25,7.5,7.33,10,10,10,7.33,81,0.12,758
Honduras,275,18975,7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,7.33,81,0.12,1350
Brazil,300,60,7.67,7.75,7.83,7.75,7.83,7.75,10,6.67,10,7.75,81,0.12,NA
"Tanzania, United Republic Of",1,60,7.33,7.33,7.08,7.42,7.17,7.33,10,10,10,7.33,81,0.12,1525
Uganda,320,60,7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,7.42,81,0.12,1700
Taiwan,10,30,7.5,6.92,7.33,7.33,7.33,7.33,10,10,10,7.25,81,0.11,1100
Thailand,2,1,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,7.17,81,0,800
Mexico,10,1,7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,7.25,81,0.12,950
Mexico,200,1,7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,7.5,81,0,1100
Taiwan,150,1,7.33,7.17,7.25,7.33,7.33,7.25,10,10,10,7.25,80.92,0,200
Guatemala,25,69,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,80.92,0.1,1901
Kenya,150,60,7.17,7.58,7.5,7.5,8,7.75,10,10,10,5.42,80.92,0.11,1600
Mexico,240,69,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,7.33,80.92,0.11,1100
Myanmar,2,2,7.17,7.42,7,7.58,7.33,7,10,10,10,7.42,80.92,0,1066.8
United States (Hawaii),7,100,7.42,7.08,7.17,7.17,7.58,7.25,10,10,10,7.25,80.92,0.1,NA
"Tanzania, United Republic Of",250,60,7.33,7.17,7.17,7.25,7.42,7.33,10,10,10,7.25,80.92,0.12,1700
Brazil,300,60,7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,80.92,0.12,1200
Taiwan,10,60,7.92,7.67,7.33,7.08,7.08,7.08,10,10,10,6.75,80.92,0.09,550
Brazil,320,2,7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,80.92,0.1,1100
Nicaragua,275,1,7.33,7.08,7.25,7,7.5,7.42,10,10,10,7.33,80.92,0.1,1050
Guatemala,250,69,7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,7.08,80.92,0.12,1524
Taiwan,35,30,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,80.92,0.11,900
Taiwan,5,30,7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,7.17,80.92,0.11,688
Taiwan,10,20,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,80.92,0.11,300
Mexico,60,1,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,80.92,0.13,1186
Thailand,3,1,7.67,7.58,7.33,7.33,7.17,7,10,10,10,6.83,80.92,0,NA
Laos,20,50,7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,7.33,80.83,0,1300
Guatemala,250,1,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,80.83,0.11,1200
Mexico,15,1,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,80.83,0.13,1210
Mexico,30,1,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,80.83,0.11,1100
Mexico,100,1,7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,7.25,80.83,0.13,100
United States (Hawaii),7,100,7.42,7.33,7,7.25,7.33,7.5,10,10,10,7,80.83,0.1,NA
Colombia,250,70,7.33,7.33,7,6.83,7.33,7.67,10,10,10,7.33,80.83,0.01,1800
Brazil,320,60,7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,7.25,80.75,0,NA
Myanmar,1,2,6.92,7.5,7,7.58,7.5,7.08,10,10,10,7.17,80.75,0,3825
Guatemala,275,69,7.5,7.33,7,7.42,7.17,7.17,10,10,10,7.17,80.75,0.12,1706.88
Nicaragua,275,69,7.25,7.25,7.17,7.25,7.33,7.25,10,10,10,7.25,80.75,0.12,110000
Honduras,275,1,7.5,7.33,7,7.42,7.25,7.17,10,10,10,7.08,80.75,0.11,1450
Panama,100,60,7.25,7.33,7.17,7.33,7.33,7.17,10,10,10,7.17,80.75,0.11,1680
Honduras,275,1,7.42,7.17,7.08,7.42,7.25,7.25,10,10,10,7.17,80.75,0.09,1350
Honduras,275,1,7.25,7.33,7.08,7.5,7.25,7.33,10,10,10,7,80.75,0.13,1450
Costa Rica,250,3,7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,7.25,80.75,0.11,1300
Mexico,30,1,7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10,7.5,80.75,0.11,1200
Haiti,1,2,7.42,7,7.42,7.25,7.08,7.33,10,10,10,7.25,80.75,0.12,1000
United States (Hawaii),3,2,7.08,7.33,7.17,7.25,7.33,7.67,10,10,10,6.92,80.75,0.13,NA
Taiwan,160,1,7.33,7.08,7.08,7.08,7.42,7.33,10,10,10,7.33,80.67,0,NA
Indonesia,200,30,7.58,7.42,7,7.67,7.5,7.5,9.33,9.33,10,7.33,80.67,0.13,1350
Guatemala,150,60,7.67,7.42,6.83,7.17,7.42,7.17,10,10,10,7,80.67,0.11,1500
Costa Rica,240,1,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,10,8,80.67,0.11,185
Malawi,100,60,7.5,7.25,7.17,7.17,7.25,7.17,10,10,10,7.17,80.67,0.12,995
Mexico,20,1,7.25,7.17,7.17,7.25,7.17,7.42,10,10,10,7.25,80.67,0.12,1200
Colombia,250,70,7.67,7.5,7.42,7.67,7.5,7.75,10,10,6.67,8.5,80.67,0,1550
Guatemala,250,69,7.67,7.17,7,7.5,7,7,10,10,10,7.33,80.67,0.12,1550
Guatemala,250,1,7,7.33,7.5,7.33,7,7.33,10,10,10,7.17,80.67,0.11,NA
Guatemala,250,1,7,7.5,7.33,7.17,7.17,7.17,10,10,10,7.33,80.67,0.11,NA
Colombia,149,70,7.17,7.25,7.08,7.42,7.08,7.42,10,10,10,7.25,80.67,0.18,NA
Brazil,94,60,7.33,7.25,7.33,7.08,7.58,7.25,9.33,10,10,7.42,80.58,0.11,NA
Nicaragua,275,69,7.08,7.5,7,7.25,7.42,7,10,10,10,7.33,80.58,0.11,NA
"Tanzania, United Republic Of",10,60,7.25,7.08,7.08,7.33,7.33,7.25,10,10,10,7.25,80.58,0.12,1400
Brazil,300,2,7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,80.58,0,1200
Honduras,275,69,7.5,7.17,7,7.42,7.33,7,10,10,10,7.17,80.58,0.11,1400
Guatemala,275,69,7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,80.58,0.11,1383.792
United States (Hawaii),10,100,7.42,7.58,7.5,7.92,7.83,7.83,8.67,8.67,9.33,7.83,80.58,0,NA
Colombia,149,70,7.08,7.25,7,7.5,7.08,7.33,10,10,10,7.33,80.58,0,NA
Taiwan,20,5,7.17,7.17,7.17,7.42,7.17,7.25,10,10,10,7.17,80.5,0,50
Guatemala,275,69,7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,80.5,0.1,1500
Honduras,15,69,7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,80.5,0.11,1650
Mauritius,1,2,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,80.5,0.12,280
Brazil,300,60,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,80.5,0.11,1250
Myanmar,1,2,7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,80.5,0,3800
Guatemala,275,69,7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,80.5,0.11,1219.2
Brazil,300,60,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,80.5,0.1,1250
United States (Hawaii),10,100,7.42,7.33,7.33,7.58,7.58,7.42,8.67,10,10,7.17,80.5,0.11,NA
Guatemala,250,1,7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,80.5,0.12,1859.28
Mexico,18,1,7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,80.5,0.15,1450
Honduras,275,69,7.25,7.42,7,7.42,7.33,7,10,10,10,7,80.42,0.1,1450
Taiwan,10,60,7.58,7.17,7.17,7.17,7.17,7.17,10,10,10,7,80.42,0.14,600
El Salvador,2,2,7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,80.42,0,1450
China,1,2,7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,80.42,0.17,1700
Taiwan,10,30,7.25,7.25,7.17,7.25,7.25,7.25,10,10,10,7,80.42,0.11,600
Mexico,250,1,6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,80.42,0.1,1050
Mexico,250,1,7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,80.42,0.12,1550
Burundi,300,60,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,80.33,0.12,1700
"Tanzania, United Republic Of",10,60,7.25,7.17,7,7.25,7.42,7.08,10,10,10,7.17,80.33,0.13,1700
